mjd	 ev_x	 evf_x	 ev_y	 evf_y	 ev_z	 evf_z
60000,0	-154612,4358	-154608,6249	89343,6078	88873,6956	170145,2518	170129,0203
60000,1	-72610,1903	-72562,2399	163376,3830	162902,0626	170145,7929	170129,0203
60000,2	37308,7091	37347,3650	174941,4193	174377,5645	170113,5111	170129,0203
60000,3	132935,2682	132915,9319	119509,1399	118893,7161	170113,7770	170129,0203
60000,4	177619,4134	177446,0267	18344,8878	17755,7951	170080,9764	170129,0203
60000,5	154093,7589	153838,5106	-89718,2026	-90200,1848	170113,4721	170129,0203
60000,6	71431,9003	71158,4483	-163172,7608	-163520,1391	170080,3483	170129,0203
60000,7	-38726,1020	-38845,7911	-173938,8636	-174049,8928	170080,0541	170129,0203
60000,8	-134040,5744	-133933,6109	-117683,6863	-117746,1190	170096,3656	170129,0203
60000,9	-177949,7889	-177592,1794	-16063,3765	-16228,9392	170063,8044	170129,0203
60001,0	-153564,4083	-153057,0157	91934,8531	91520,0011	170064,2442	170129,0203
